交易时间,公众账号ID,商户号,特约商户号,设备号,微信订单号,商户订单号,用户标识,交易类型,交易状态,付款银行,货币种类,总金额,企业红包金额,微信退款单号,商户退款单号,退款金额,企业红包退款金额,退款类型,退款状态,商品名称,商户数据包,手续费,费率
`2015-10-09 07:32:32,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007360271201510091134808782,`151009874766771115484,`ocBwEs7tNUYacDbfblzAaQcWneZk,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-09 19:56:47,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1007970271201510091142624526,`151009273166771116450,`ocBwEs57H_o7L372DnZOFb-Zo4eo,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-09 09:03:01,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008880271201510091135224322,`151009832666771111317,`ocBwEszTUycGxxCpWC0cfVcDSg6w,`NATIVE,`SUCCESS,`HXB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-09 09:12:54,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1008900271201510091135331409,`151009781666842418770,`ocBwEs0MM-Oy8D5ZPbObiyJmglYo,`NATIVE,`SUCCESS,`GDB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-20 00:07:15,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1000170271201510201260784919,`15102067041297714535,`ocBwEszMVDbajg7NsOCNTzNt1SXs,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-20 13:48:48,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1003560271201510201265665320,`151020137166771115824,`ocBwEs97qsYlzDiDfyyBglajjlr8,`NATIVE,`SUCCESS,`CMBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-20 09:22:58,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1003720271201510201262215041,`151020900466771118686,`ocBwEs-wY6b9aH_rvn75y2k5seXE,`NATIVE,`SUCCESS,`CMB_CREDIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-20 09:53:34,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004080271201510201262461036,`151020105344776816381,`ocBwEs28QfDvTj-DWNssbpc45A2E,`JSAPI,`SUCCESS,`CMB_DEBIT,`CNY,`698.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`4.19000,`0.60%
`2015-10-20 17:25:52,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1004140271201510201268108905,`151020853566771115595,`ocBwEsz8RVLPAcfzEGCfY9hR02cU,`NATIVE,`SUCCESS,`ABC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-20 09:13:49,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1005330271201510201262120596,`151020790066161417554,`ocBwEs6ECO1yOVNN6mjxQN__wxRo,`NATIVE,`SUCCESS,`ICBC_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
`2015-10-22 11:35:43,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1000640271201510221287290416,`151022603066771127542,`ocBwEs-morkKGjxSGIq2KFEm-ajc,`NATIVE,`SUCCESS,`CFT,`CNY,`2211.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`13.27000,`0.60%
`2015-10-22 15:14:10,`wxc4337c2ebe08ff82,`1245708002,`0,`,`1001790271201510221290223090,`151022776366771116073,`ocBwEsy4eSynd0Epj-D-WVBVRPYA,`NATIVE,`SUCCESS,`CCB_DEBIT,`CNY,`1288.00,`0.00,`0,`0,`0,`0,`,`,`订阅选手交易信息,`,`7.73000,`0.60%
